ID,Latitude,Longitude,Accuracy,Time,Data1,Data2 ,Amp,Shift,Voltage,Temp,Humidity,Hs,Hp,Adj
7952.0,-34.024912573219694,150.66319415306748,3.2160000801086404,105643,42164.0,7.7000009999999985,42174.418000000136,7.7000009999999985,11.899099000000005,26.984328254999703,44.83101,32340.752510358965,27069.111229659677,-0.0067572843061887156
7954.0,-34.02492501322081,150.6631907879068,3.2160000801086404,105644,42474.0,7.69,42103.961500000136,7.69,11.898754000000006,26.986810324999706,44.6891,32314.633951862485,26990.5944288868,-0.005419537931928176
7955.0,-34.02493770815772,150.66318735378314,3.2160000801086404,105645,42162.0,7.7,42083.51050000015,7.7,11.895651000000004,26.988018649999706,44.56092,32311.305097577686,26962.713972469635,-0.005998550823817618
7956.0,-34.02494995268319,150.66318404150087,3.2160000801086404,105646,7.7,7.7,42003.71450000016,7.7,11.898753500000005,26.989248334999704,44.457159999999995,32262.20714275565,26897.04853924564,-0.005078960455303871
7959.0,-34.02496083438439,150.6631810978779,3.2160000801086404,105647,42052.0,7.7,42086.97950000016,7.7,11.898753500000005,26.99292270499971,43.83764,32357.915229503058,26912.32978535685,-0.002819229091287845
7961.0,-34.02497205476266,150.663178062639,3.2160000801086404,105648,42557.0,7.7,42079.15750000016,7.7,11.902545500000004,26.99539009499971,43.41802,32368.282620616104,26887.653054958995,-0.0019805227855096428
7963.0,-34.024983819437466,150.6631748801617,3.2160000801086404,105649,41502.0,7.7,42032.51850000015,7.7,11.903924500000004,26.99784278999972,43.06554000000001,32346.935063438883,26840.36116217001,-0.0021409555673548297
7965.0,-34.024995670867156,150.66317167421624,3.2160000801086404,105650,40898.0,7.7,42034.47950000016,7.7,11.909440500000004,27.000323524999718,42.85344,32364.26082507145,26822.523477058487,-0.0018032218968704328
7966.0,-34.0250078967174,150.66316836698581,3.2160000801086404,105651,41292.0,7.7,42023.81750000015,7.7,11.909096000000005,27.001567899999717,42.8275,32364.804539418536,26805.150503852197,-0.001884592113778005
7968.0,-34.02502017176198,150.66316504644774,3.2160000801086404,105652,42637.0,7.7,41958.99650000016,7.7,11.914266500000005,27.004020594999727,42.85344,32332.59943000456,26742.37587748463,-4.4974895622829074e-05
7969.0,-34.02503207056907,150.66316182768617,3.2160000801086404,105653,42562.0,7.690001,41931.85550000016,7.690001,11.910474500000005,27.00525027999973,42.78477,32320.055421234058,26714.944361506885,-0.00012538452710764147
7972.0,-34.02504382439656,150.6631586481432,3.2160000801086404,105654,41952.0,7.7,41886.22250000016,7.7,11.913060500000006,27.008952684999727,42.59251,32307.32849934625,26658.667951477782,0.0016325636161935721
7974.0,-34.02505749319471,150.6631549505791,3.2160000801086404,105655,42139.0,7.7,41858.861000000164,7.7,11.909096000000005,27.01140404499973,42.52079000000001,32299.785643432777,26624.819262029057,0.003472268130572332
7975.0,-34.02507153494514,150.66315115212714,3.2160000801086404,105656,41948.0,7.7,41852.07800000017,7.7,11.908062000000005,27.012640404999733,42.39262,32300.804730971802,26612.93191050731,0.004391372017964025
7977.0,-34.02508518167781,150.663147460532,3.2160000801086404,105657,40857.0,7.71,41919.041000000165,7.71,11.903580500000004,27.01508642499975,42.31022,32364.2811077667,26641.222656506583,0.0057314257172418346
7979.0,-34.02509887095141,150.66314375742903,3.2160000801086404,105658,41981.0,7.7,41876.543000000165,7.7,11.901857000000005,27.01755914499975,42.28275,32337.250304154484,26607.213017609,0.006069733492027218
7981.0,-34.025112263551364,150.6631401345796,3.2160000801086404,105659,41974.0,7.72,41841.113500000174,7.72,11.897031000000005,27.02003186499975,42.31327,32311.866337023086,26582.31334367334,0.006407991266812019
7983.0,-34.02512681445319,150.6631361983965,3.2160000801086404,105700,40897.0,7.7,41877.221500000174,7.7,11.895996500000004,27.02249123499975,42.41398,32335.73530008625,26610.106902186515,0.0057471720038453356
7984.0,-34.02514295925414,150.66313183104566,3.2160000801086404,105701,42216.0,7.699999000000001,41875.75050000018,7.699999000000001,11.896858000000005,27.023714244999766,42.4979,32329.05442984456,26615.87709673972,0.0051672988534834366
7987.0,-34.02515750652162,150.66312789584566,3.2160000801086404,105702,42091.0,7.71,41798.08050000017,7.71,11.894789500000005,27.02740330499975,42.55283,32246.397768118462,26593.942892553452,0.0034261696320792012
7988.0,-34.02517088211982,150.66312427759544,3.2160000801086404,105703,42106.0,7.7,41859.20400000017,7.7,11.895479000000005,27.028626314999762,42.61539000000001,32283.00615127045,26645.572372261566,0.002846196481717911
7990.0,-34.02518343891904,150.66312088083959,3.2160000801086404,105704,41898.0,7.69,41818.07250000017,7.69,11.894445000000005,27.031085684999766,42.65354,32227.271710123438,26648.37702189603,0.0006854772187505631
7991.0,-34.02519478371801,150.66311781194344,3.2160000801086404,105705,42088.0,7.7,41816.74650000017,7.7,11.890997500000005,27.03230201999976,42.55741,32212.68408415424,26663.907927546512,-0.0003941094504869014
7994.0,-34.02520477141604,150.66311511015843,3.2160000801086404,105706,41253.0,7.7,41900.11900000017,7.7,11.888412000000004,27.03599908999977,42.29038,32235.364708923018,26767.153960232285,-0.003635862449240079
7996.0,-34.02521393705172,150.66311263075056,3.2160000801086404,105707,41086.0,7.69,41875.40950000017,7.690001,11.889619000000005,27.03845846499977,42.27817,32188.06198487333,26785.425101129946,-0.005796582039161002
7997.0,-34.025220712265195,150.66311079797887,3.2160000801086404,105708,42080.0,7.7,41900.37400000017,7.7,11.892032000000004,27.03966678499976,42.23239,32191.10394410972,26820.811131375667,-0.006875594604096591
